"county_geoid","place_geoid","tract_geoid","county","place","tract","county_pop","place_pop","tract_pop","overlap_percent"
6013,657764,6013321200,"Contra Costa","Pleasant Hill","Census Tract 3212, Contra Costa County, California",1142251,34840,5634,0.4499397967876
6013,654764,6013321200,"Contra Costa","Pacheco CDP","Census Tract 3212, Contra Costa County, California",1142251,4361,5634,0.526255802095864
6073,666000,6073008363,"San Diego","San Diego","Census Tract 83.63, San Diego County, California",3316073,1409573,4997,1
6073,666000,6073008364,"San Diego","San Diego","Census Tract 83.64, San Diego County, California",3316073,1409573,6031,1
6037,648816,6037530004,"Los Angeles","Montebello","Census Tract 5300.04, Los Angeles County, California",10081570,62742,3495,1
6073,666000,6073010009,"San Diego","San Diego","Census Tract 100.09, San Diego County, California",3316073,1409573,6978,1
6029,662826,6029005802,"Kern","Rosamond CDP","Census Tract 58.02, Kern County, California",887641,20851,9479,1
6031,602700,6031001001,"Kings","Armona CDP","Census Tract 10.01, Kings County, California",150691,4407,4519,0.0138293489018011
6031,631960,6031001001,"Kings","Hanford","Census Tract 10.01, Kings County, California",150691,56475,4519,0.986170651098199
6025,609710,6025011900,"Imperial","Calexico","Census Tract 119, Imperial County, California",180701,39946,11456,1
6059,648256,6059032047,"Orange","Mission Viejo","Census Tract 320.47, Orange County, California",3168044,95516,4534,0.790583013474427
6059,639496,6059032047,"Orange","Lake Forest","Census Tract 320.47, Orange County, California",3168044,83974,4534,0.209416986525573
6059,669000,6059075003,"Orange","Santa Ana","Census Tract 750.03, Orange County, California",3168044,332794,7500,1
6037,628168,6037603102,"Los Angeles","Gardena","Census Tract 6031.02, Los Angeles County, California",10081570,59709,3664,1
6071,624680,6071002704,"San Bernardino","Fontana","Census Tract 27.04, San Bernardino County, California",2149031,210759,11527,0.550068619301773
6071,660466,6071002704,"San Bernardino","Rialto","Census Tract 27.04, San Bernardino County, California",2149031,103045,11527,0.449931380698227
6083,617727,6083001800,"Santa Barbara","Cuyama CDP","Census Tract 18, Santa Barbara County, California",444829,17,1050,0.388776230367674
6083,651028,6083001800,"Santa Barbara","New Cuyama CDP","Census Tract 18, Santa Barbara County, California",444829,660,1050,0.611223769632326
6083,648844,6083001500,"Santa Barbara","Montecito CDP","Census Tract 15, Santa Barbara County, California",444829,8245,2526,1
6099,638422,6099003002,"Stanislaus","Keyes CDP","Census Tract 30.02, Stanislaus County, California",543194,6548,7837,0.678976746522342
6099,612524,6099003002,"Stanislaus","Ceres","Census Tract 30.02, Stanislaus County, California",543194,48214,7837,0.275347829283501
6099,616762,6099003002,"Stanislaus","Cowan CDP","Census Tract 30.02, Stanislaus County, California",543194,498,7837,0.0456754241941568
6099,680812,6099003804,"Stanislaus","Turlock","Census Tract 38.04, Stanislaus County, California",543194,72904,7417,1
6099,655728,6099002504,"Stanislaus","Parklawn CDP","Census Tract 25.04, Stanislaus County, California",543194,1040,4588,0.0198310080802742
6099,612524,6099002504,"Stanislaus","Ceres","Census Tract 25.04, Stanislaus County, California",543194,48214,4588,0.980168991919726
6085,647766,6085504412,"Santa Clara","Milpitas","Census Tract 5044.12, Santa Clara County, California",1927470,79517,4873,1
6083,669070,6083000103,"Santa Barbara","Santa Barbara","Census Tract 1.03, Santa Barbara County, California",444829,91376,3433,1
6083,669070,6083000501,"Santa Barbara","Santa Barbara","Census Tract 5.01, Santa Barbara County, California",444829,91376,3350,0.528036471134725
6083,648147,6083000501,"Santa Barbara","Mission Canyon CDP","Census Tract 5.01, Santa Barbara County, California",444829,2508,3350,0.471963528865275
6067,664000,6067007012,"Sacramento","Sacramento","Census Tract 70.12, Sacramento County, California",1524553,500930,3452,1
6067,659444,6067009008,"Sacramento","Rancho Cordova","Census Tract 90.08, Sacramento County, California",1524553,73147,5227,1
6073,653322,6073018514,"San Diego","Oceanside","Census Tract 185.14, San Diego County, California",3316073,175622,8953,1
6053,664224,6053001802,"Monterey","Salinas","Census Tract 18.02, Monterey County, California",433410,156143,5475,1
6111,665042,6111001507,"Ventura","San Buenaventura (Ventura)","Census Tract 15.07, Ventura County, California",847263,109910,4063,1
6069,634120,6069000502,"San Benito","Hollister","Census Tract 5.02, San Benito County, California",60376,38687,6930,1
6013,683346,6013351103,"Contra Costa","Walnut Creek","Census Tract 3511.03, Contra Costa County, California",1142251,69567,2012,1
6037,644000,6037269601,"Los Angeles","Los Angeles","Census Tract 2696.01, Los Angeles County, California",10081570,3966936,3393,1
6037,644000,6037131400,"Los Angeles","Los Angeles","Census Tract 1314, Los Angeles County, California",10081570,3966936,6367,1
6073,682996,6073019203,"San Diego","Vista","Census Tract 192.03, San Diego County, California",3316073,100686,2826,1
6001,650916,6001444602,"Alameda","Newark","Census Tract 4446.02, Alameda County, California",1656754,47171,4563,1
6059,636770,6059052426,"Orange","Irvine","Census Tract 524.26, Orange County, California",3168044,273157,20544,0.713200550888633
6059,639496,6059052426,"Orange","Lake Forest","Census Tract 524.26, Orange County, California",3168044,83974,20544,0.286799449111367
6065,649270,6065042406,"Riverside","Moreno Valley","Census Tract 424.06, Riverside County, California",2411439,207289,4675,1
6065,662000,6065031200,"Riverside","Riverside","Census Tract 312, Riverside County, California",2411439,326414,7184,1
6017,673108,6017030402,"El Dorado","South Lake Tahoe","Census Tract 304.02, El Dorado County, California",188563,21939,4368,1
6077,675000,6077003409,"San Joaquin","Stockton","Census Tract 34.09, San Joaquin County, California",742603,309228,4159,1
6037,613560,6037404100,"Los Angeles","Citrus CDP","Census Tract 4041, Los Angeles County, California",10081570,10150,6277,0.754404713381646
6037,603386,6037404100,"Los Angeles","Azusa","Census Tract 4041, Los Angeles County, California",10081570,49753,6277,0.245595286618354
6021,685684,6021010400,"Glenn","Willows","Census Tract 104, Glenn County, California",27976,6013,7118,1
6001,653000,6001408400,"Alameda","Oakland","Census Tract 4084, Alameda County, California",1656754,425097,3201,1
6065,649270,6065042401,"Riverside","Moreno Valley","Census Tract 424.01, Riverside County, California",2411439,207289,2090,1
6065,656700,6065042617,"Riverside","Perris","Census Tract 426.17, Riverside County, California",2411439,77290,11457,1
6065,656700,6065042619,"Riverside","Perris","Census Tract 426.19, Riverside County, California",2411439,77290,12354,1
6041,640438,6041119201,"Marin","Larkspur","Census Tract 1192.01, Marin County, California",259943,12319,3601,0.902350073936452
6041,638114,6041119201,"Marin","Kentfield CDP","Census Tract 1192.01, Marin County, California",259943,7020,3601,0.0976499260635479
6067,624638,6067008209,"Sacramento","Folsom","Census Tract 82.09, Sacramento County, California",1524553,78159,4658,1
6077,640704,6077005119,"San Joaquin","Lathrop","Census Tract 51.19, San Joaquin County, California",742603,22341,8947,0.877946029630938
6077,645484,6077005119,"San Joaquin","Manteca","Census Tract 51.19, San Joaquin County, California",742603,79129,8947,0.122053970369062
6025,609878,6025010101,"Imperial","Calipatria","Census Tract 101.01, Imperial County, California",180701,7395,4137,0.982231279419191
6025,651392,6025010101,"Imperial","Niland CDP","Census Tract 101.01, Imperial County, California",180701,631,4137,0.0177687205808094
6065,639486,6065043010,"Riverside","Lake Elsinore","Census Tract 430.10, Riverside County, California",2411439,65817,5956,0.886460755235127
